###A table for determining the band around a star that would contain water 100'C - 0'C
###Format is star type, inner AU, outer AU
G0VI, 0.5, 0.934
G0VII, 0.008, 0.015
F9Ia, 137.028, 255.801
F9Ib, 43.332, 80.891
F9II, 16.019, 29.904
F9III, 4.149, 7.745
F9IV, 1.715, 3.202
F9V, 0.729, 1.362
F9VI, 0.652, 1.218
F9VII, 0.009, 0.017
F8Ia, 135.882, 253.661
F8Ib, 43.332, 80.891
F8II, 16.165, 30.177
F8III, 4.26, 7.953
F8IV, 1.729, 3.227
F8V, 0.867, 1.618
F8VI, 0.775, 1.447
F8VII, 0.01, 0.018
F7Ia, 134.725, 251.502
F7Ib, 44.048, 82.229
F7II, 16.31, 30.446
F7III, 4.369, 8.156
F7IV, 1.742, 3.252
F7V, 0.985, 1.839
F7VI, 0.881, 1.645
F7VII, 0.01, 0.02
F6Ia, 133.559, 249.324
F6Ib, 44.753, 83.544
F6II, 16.453, 30.714
F6III, 4.475, 8.354
F6IV, 1.756, 3.278
F6V, 1.091, 2.036
F6VI, 0.975, 1.821
F6VII, 0.011, 0.021
F5Ia, 132.382, 247.128
F5Ib, 45.447, 84.84
F5II, 16.595, 30.979
F5III, 4.579, 8.548
F5IV, 1.769, 3.302
F5V, 1.187, 2.215
F5VI, 1.061, 1.981
F5VII, 0.012, 0.022
F4Ia, 131.195, 244.911
F4Ib, 46.131, 86.116
F4II, 16.736, 31.242
F4III, 4.68, 8.737
F4IV, 2.238, 4.177
F4V, 1.276, 2.381
F4VI, 1.141, 2.13
F4VII, 0.013, 0.023
F3Ia, 129.996, 242.674
F3Ib, 46.804, 87.373
F3II, 16.875, 31.503
F3III, 4.78, 8.923
F3IV, 2.624, 4.898
F3V, 1.359, 2.537
F3VI, 1.215, 2.269
F3VII, 0.013, 0.024
F2Ia, 128.787, 240.417
F2Ib, 47.468, 88.612
F2II, 17.014, 31.761
F2III, 4.877, 9.104
F2IV, 2.96, 5.526
F2V, 1.437, 2.683
F2VI, 1.285, 2.4
F2VII, 0.014, 0.026
F1Ia, 127.566, 238.138
F1Ib, 48.123, 89.834
F1II, 17.151, 32.018
F1III, 4.972, 9.282
F1IV, 3.262, 6.089
F1V, 1.511, 2.822
F1VI, 1.352, 2.524
F1VII, 0.014, 0.027
F0Ia, 126.334, 235.837
F0Ib, 48.769, 91.04
F0II, 17.288, 32.272
F0III, 5.066, 9.457
F0IV, 3.538, 6.605
F0V, 1.582, 2.954
F0VI, 1.415, 2.642
F0VII, 0.015, 0.028
A9Ia, 125.089, 233.514
A9Ib, 49.406, 92.23
A9II, 17.423, 32.525
A9III, 5.158, 9.628
A9IV, 3.794, 7.083
A9V, 1.769, 3.302
A9VI, 1.582, 2.954
A9VII, 0.015, 0.029
A8Ia, 125.089, 233.514
A8Ib, 50.036, 93.405
A8II, 17.557, 32.775
A8III, 5.248, 9.796
A8IV, 4.034, 7.531
A8V, 2.3, 4.293
A8VI, 2.057, 3.84
A8VII, 0.016, 0.03
A7Ia, 125.089, 233.514
A7Ib, 50.657, 94.566
A7II, 17.69, 33.024
A7III, 5.336, 9.962
A7IV, 4.26, 7.953
A7V, 2.729, 5.095
A7VI, 2.441, 4.557
A7VII, 0.016, 0.03
A6Ia, 125.089, 233.514
A6Ib, 51.271, 95.712
A6II, 21.302, 39.766
A6III, 5.424, 10.125
A6IV, 4.475, 8.354
A6V, 3.1, 5.786
